Aircraft,Class,Target
1,2,0
2,2,50
3,5,60
4,1,100
5,3,114
6,5,122
7,5,149
8,3,231
9,6,325
10,5,339
11,5,351
12,1,362
13,3,375
14,6,463
15,5,481
16,6,517
17,6,537
18,2,567
19,1,629
20,3,634
21,5,736
22,2,742
23,6,751
24,6,819
25,2,850
26,2,876
27,4,882
28,4,947
29,3,972
30,6,1014
31,5,1067
32,5,1125
33,6,1140
34,4,1217
35,2,1289
36,5,1415
37,3,1461
38,1,1490
39,1,1636
40,3,1658
41,2,1691
42,3,1698
43,3,1719
44,2,1763
45,3,1786
46,6,1790
47,2,1838
48,1,1873
49,4,1892
50,4,1930
51,6,2042
52,4,2059
53,6,2062
54,5,2118
Aircraft,Class,Target
1,5,0
2,3,25
3,1,43
4,2,85
5,1,93
6,6,110
7,4,119
8,2,157
9,2,215
10,3,229
11,4,306
12,5,309
13,2,355
14,3,391
15,5,395
16,2,424
17,2,492
18,6,503
19,6,615
20,6,648
21,4,654
22,6,664
23,2,679
24,5,699
25,2,781
26,5,869
27,5,899
28,5,926
29,6,979
30,2,1000
31,5,1062
32,1,1068
33,4,1091
34,4,1147
35,1,1219
36,3,1226
37,3,1238
38,6,1269
39,3,1295
40,3,1421
41,3,1523
42,6,1528
43,3,1572
44,5,1585
45,5,1635
46,1,1654
47,2,1702
48,3,1742
49,6,1836
50,1,1901
51,3,1923
52,6,1958
53,5,2104
54,2,2118
Aircraft,Class,Target
1,2,0
2,2,112
3,3,145
4,1,165
5,6,211
6,3,229
7,5,246
8,2,340
9,5,363
10,5,389
11,5,404
12,4,423
13,6,473
14,3,498
15,6,570
16,1,575
17,3,602
18,1,616
19,2,623
20,2,627
21,4,695
22,3,701
23,6,741
24,5,772
25,3,828
26,6,842
27,4,886
28,4,921
29,5,963
30,2,1016
31,2,1054
32,5,1136
33,5,1165
34,5,1173
35,1,1299
36,6,1335
37,6,1348
38,5,1369
39,3,1515
40,3,1563
41,5,1566
42,1,1596
43,6,1608
44,4,1630
45,6,1636
46,3,1724
47,2,1735
48,3,1793
49,1,1803
50,2,1868
51,3,1970
52,6,2032
53,6,2041
54,4,2118
Aircraft,Class,Target
1,5,0
2,2,13
3,3,33
4,1,40
5,4,76
6,6,158
7,5,211
8,3,305
9,4,310
10,6,345
11,5,376
12,4,403
13,5,459
14,6,470
15,2,487
16,6,520
17,1,546
18,3,568
19,3,614
20,2,629
21,4,659
22,6,667
23,5,705
24,6,719
25,2,777
26,6,787
27,3,889
28,3,892
29,4,954
30,3,1019
31,2,1063
32,2,1105
33,5,1111
34,2,1115
35,5,1261
36,1,1373
37,1,1413
38,6,1485
39,1,1535
40,6,1661
41,4,1675
42,2,1763
43,5,1840
44,2,1888
45,5,1917
46,5,1938
47,1,1947
48,6,1959
49,3,1982
50,6,2000
51,3,2019
52,2,2087
53,2,2093
54,3,2118
Aircraft,Class,Target
1,1,0
2,3,13
3,4,95
4,6,121
5,6,148
6,1,162
7,2,185
8,3,202
9,6,260
10,3,263
11,2,357
12,6,364
13,2,476
14,5,482
15,2,524
16,5,539
17,2,574
18,1,627
19,4,648
20,3,662
21,4,706
22,3,717
23,4,726
24,2,738
25,5,769
26,3,895
27,2,960
28,5,985
29,4,1007
30,3,1075
31,6,1152
32,6,1214
33,6,1222
34,5,1260
35,6,1362
36,4,1450
37,2,1470
38,3,1510
39,5,1520
40,5,1549
41,1,1553
42,3,1589
43,5,1637
44,2,1709
45,5,1727
46,1,1873
47,5,1892
48,5,1922
49,2,1928
50,6,1978
51,3,2011
52,1,2016
53,6,2062
54,6,2118
Aircraft,Class,Target
1,3,0
2,3,18
3,5,32
4,2,45
5,4,103
6,2,125
7,5,193
8,3,208
9,3,227
10,6,232
11,4,314
12,5,349
13,2,405
14,3,422
15,3,472
16,2,480
17,6,492
