Aircraft,Class,Target,SID
1,5,0,5
2,3,25,-1
3,1,43,-1
4,2,85,-1
5,1,93,-1
6,6,110,5
7,4,119,6
8,2,157,-1
9,2,215,-1
10,3,229,-1
11,4,306,3
12,5,309,6
13,2,355,-1
14,3,391,-1
15,5,395,1
16,2,424,-1
17,2,492,-1
18,6,503,1
19,6,615,1
20,6,648,1
21,4,654,3
22,6,664,6
23,2,679,-1
24,5,699,3
25,2,781,-1
26,5,869,5
27,5,899,5
28,5,926,3
29,6,979,2
30,2,1000,-1
31,5,1062,1
32,1,1068,-1
33,4,1091,4
34,4,1147,4
35,1,1219,-1
36,3,1226,-1
37,3,1238,-1
38,6,1269,6
39,3,1295,-1
40,3,1421,-1
41,3,1523,-1
42,6,1528,2
43,3,1572,-1
44,5,1585,1
45,5,1635,2
46,1,1654,-1
47,2,1702,-1
48,3,1742,-1
49,6,1836,2
50,1,1901,-1
51,3,1923,-1
52,6,1958,1
53,5,2104,1
54,2,2118,-1
