Aircraft,Class,Target
1,5,0
2,2,8
3,4,67
4,2,155
5,2,179
6,3,221
7,4,271
8,6,296
9,2,319
10,5,363
11,6,380
12,1,435
13,6,497
14,3,531
15,5,563
16,5,573
17,4,588
18,5,670
19,6,677
20,5,682
21,3,686
22,6,693
23,2,764
24,2,816
25,1,922
26,3,1018
27,5,1039
28,5,1066
29,6,1186
30,3,1199
31,3,1208
32,1,1238
33,2,1267
34,2,1287
35,6,1306
36,3,1312
37,6,1378
38,3,1418
39,4,1454
40,1,1501
41,6,1539
42,3,1679
43,2,1693
44,5,1769
45,1,1781
46,4,1797
Aircraft,Class,Target
1,1,0
2,2,21
3,5,51
4,2,78
5,3,137
6,5,143
7,3,167
8,4,179
9,4,198
10,5,260
11,5,277
12,6,373
13,5,449
14,6,520
15,4,549
16,1,559
17,2,593
18,2,699
19,6,706
20,6,742
21,2,830
22,2,896
23,5,938
24,3,953
25,2,960
26,3,969
27,6,989
28,2,1003
29,6,1123
30,1,1127
31,2,1267
32,3,1319
33,3,1327
34,6,1343
35,4,1366
36,6,1406
37,3,1444
38,5,1494
39,2,1538
40,3,1585
41,5,1598
42,1,1653
43,5,1678
44,6,1710
45,3,1715
46,5,1797
Aircraft,Class,Target
1,3,0
2,2,96
3,6,100
4,2,115
5,3,131
6,1,190
7,5,237
8,5,266
9,5,348
10,3,362
11,5,370
12,5,425
13,3,450
14,2,455
15,6,482
16,2,526
17,1,602
18,2,611
19,5,661
20,4,668
21,6,691
22,6,733
23,2,795
24,5,833
25,6,840
26,4,880
27,4,886
28,3,910
29,1,922
30,6,958
31,5,975
32,6,1009
33,3,1022
34,5,1088
35,3,1120
36,6,1172
37,1,1312
38,3,1322
39,2,1428
40,2,1548
41,2,1567
42,4,1638
43,6,1726
44,6,1746
45,1,1767
46,3,1797
Aircraft,Class,Target
1,5,0
2,2,17
3,1,79
4,5,87
5,2,125
6,6,221
7,2,230
8,5,242
9,3,269
10,6,345
11,3,361
12,1,481
13,2,486
14,2,538
15,5,545
16,2,555
17,3,561
18,6,597
19,6,604
20,6,654
21,1,696
22,4,715
23,1,762
24,4,850
25,5,879
26,3,1019
27,6,1040
28,6,1060
29,4,1092
30,3,1126
31,5,1156
32,5,1181
33,3,1247
34,3,1251
35,6,1264
36,2,1346
37,3,1452
38,3,1492
39,4,1515
40,6,1574
41,3,1645
42,2,1659
43,5,1703
44,2,1758
45,5,1782
46,5,1797
Aircraft,Class,Target
1,4,0
2,2,66
3,5,93
4,3,99
5,6,195
6,2,250
7,4,326
8,2,335
9,5,339
10,2,364
11,5,423
12,4,440
13,2,528
14,4,536
15,6,550
16,1,573
17,6,655
18,3,707
19,3,847
20,1,967
21,5,1017
22,6,1030
23,5,1040
24,1,1146
25,5,1208
26,3,1279
27,3,1309
28,3,1341
29,5,1375
30,5,1411
31,6,1440
32,5,1459
33,6,1501
34,3,1525
35,2,1569
36,6,1607
37,2,1614
38,2,1629
39,1,1649
40,2,1665
41,6,1670
42,6,1682
43,3,1689
44,6,1710
45,3,1757
46,5,1797
Aircraft,Class,Target
1,2,0
2,2,96
3,5,106
4,3,120
5,3,132
6,6,187
7,6,327
8,4,415
9,5,430
10,2,496
11,5,532
12,3,540
13,3,557
14,6,616
15,2,621
16,1,650
17,1,666
18,6,670
19,3,776
20,3,797
21,6,868
22,2,877
23,1,884
24,2,911
25,3,1031
26,1,1063
27,6,1115
28,2,1157
29,3,1195
30,6,1219
31,4,1266
32,5,1272
33,5,1291
34,5,1367
35,6,1387
36,3,1400
37,1,1444
38,5,1506
39,6,1513
40,5,1553
41,3,1576
42,6,1658
43,4,1688
44,4,1722
45,2,1747
46,2,1797
Aircraft,Class,Target
1,2,0
2,6,6
3,5,72
4,3,192
5,5,228
6,3,275
7,3,357
8,6,366
9,2,506
10,1,548
11,6,582
12,4,592
13,5,615
14,3,645
15,3,697
16,2,735
17,2,785
18,3,800
19,2,807
20,4,827
21,1,834
22,5,896
23,2,917
24,5,931
25,4,963
26,6,1069
27,5,1086
28,2,1157
29,2,1186
30,3,1202
31,5,1261
32,4,1305
33,6,1324
34,1,1329
35,5,1353
36,2,1361
37,6,1437
38,4,1492
39,6,1532
40,3,1557
41,6,1570
42,3,1666
43,3,1678
44,6,1705
45,6,1709
46,1,1797
Aircraft,Class,Target
1,1,0
2,2,82
3,6,91
4,3,121
5,5,197
6,2,226
7,5,232
8,1,266
9,3,270
10,4,284
11,2,316
12,3,412
13,6,459
14,6,484
15,2,491
16,5,541
17,5,612
18,6,700
19,5,740
20,6,757
21,3,816
22,6,882
23,5,903
24,2,955
25,2,979
26,5,991
27,6,1006
28,2,1044
29,2,1086
30,4,1226
31,3,1288
32,5,1301
33,5,1320
34,4,1343
35,6,1449
36,6,1454
37,1,1461
38,5,1488
39,3,1532
40,4,1552
41,1,1588
42,4,1596
43,3,1612
44,3,1732
45,6,1787
46,2,1797
Aircraft,Class,Target
1,4,0
2,5,59
3,3,101
4,2,125
5,5,129
6,3,137
7,1,157
8,3,195
9,3,218
10,4,228
11,1,237
12,1,273
13,1,300
14,5,340
15,5,370
16,6,385
17,2,391
18,5,423
19,2,494
20,2,501
21,3,621
22,2,633
23,6,646
24,5,728
25,6,804
26,3,838
27,4,859
28,2,875
29,6,894
30,5,960
31,3,1012
32,6,1074
33,5,1099
34,2,1143
35,1,1150
36,6,1256
37,4,1306
38,2,1402
39,3,1457
40,6,1597
41,6,1614
42,2,1702
43,6,1731
44,5,1736
45,3,1750
46,5,1797
Aircraft,Class,Target
1,4,0
2,5,47
3,3,62
4,5,72
5,1,138
6,6,143
7,1,150
8,4,159
9,2,191
10,6,229
11,2,241
12,2,258
13,3,282
14,4,324
15,5,331
16,5,386
17,1,407
18,2,443
19,3,502
20,6,590
21,2,710
22,5,714
23,3,743
24,2,787
25,6,812
26,4,883
27,3,965
28,3,984
29,6,992
30,2,1005
31,2,1039
32,1,1135
33,6,1241
34,5,1247
35,2,1297
36,5,1320
37,6,1347
38,6,1377
39,6,1439
40,2,1479
41,3,1531
42,5,1545
43,5,1565
44,3,1581
45,1,1721
46,3,1797
