Aircraft,Class,Target,SID
1,3,0,-1
2,1,37,-1
3,3,51,-1
4,2,57,-1
5,1,69,-1
6,3,102,-1
7,5,126,1
8,4,133,5
9,6,142,1
10,2,218,-1
11,4,289,3
12,5,379,3
13,2,478,-1
14,6,525,4
15,5,533,3
16,5,559,5
17,2,602,-1
18,3,634,-1
19,2,637,-1
20,3,678,-1
21,6,699,4
22,5,714,5
23,6,770,3
24,6,815,1
25,6,897,2
26,2,956,-1
27,2,966,-1
28,6,996,3
29,1,1107,-1
30,4,1123,6
31,3,1136,-1
32,5,1140,4
33,5,1159,6
34,6,1169,5
35,5,1198,4
36,3,1203,-1
37,3,1242,-1
38,6,1259,5
39,6,1286,2
40,2,1304,-1
41,1,1357,-1
42,1,1486,-1
43,5,1549,5
44,5,1616,6
45,2,1621,-1
46,3,1632,-1
47,2,1667,-1
48,4,1690,5
49,4,1712,1
50,3,1762,-1
