Aircraft,Class,Target,SID
1,2,0,-1
2,3,27,-1
3,1,93,-1
4,3,112,-1
5,6,162,1
6,3,169,-1
7,5,261,5
8,1,292,-1
9,2,344,-1
10,2,354,-1
11,1,357,-1
12,4,367,2
13,4,517,3
14,6,615,2
15,5,696,1
16,4,726,1
17,5,734,3
18,2,768,-1
19,3,775,-1
20,2,779,-1
21,6,783,3
22,2,816,-1
23,3,834,-1
24,5,856,2
25,3,942,-1
26,5,1004,2
27,3,1052,-1
28,6,1057,2
29,2,1075,-1
30,6,1117,2
31,1,1132,-1
32,2,1186,-1
33,5,1192,6
34,3,1221,-1
35,5,1242,2
36,6,1302,4
37,3,1319,-1
38,5,1330,2
39,4,1399,6
40,2,1471,-1
41,3,1484,-1
42,2,1519,-1
43,5,1563,5
44,4,1572,5
45,6,1611,2
46,1,1648,-1
47,5,1688,6
48,3,1745,-1
49,6,1769,4
50,6,1885,5
51,4,1899,4
52,6,1925,5
53,1,1937,-1
54,2,2043,-1
55,3,2068,-1
56,6,2198,4
57,2,2221,-1
58,6,2267,1
59,5,2343,5
60,5,2359,1
