Aircraft,Class,Target,SID
1,2,0,-1
2,6,6,4
3,5,72,6
4,3,192,-1
5,5,228,1
6,3,275,-1
7,3,357,-1
8,6,366,2
9,2,506,-1
10,1,548,-1
11,6,582,4
12,4,592,2
13,5,615,1
14,3,645,-1
15,3,697,-1
16,2,735,-1
17,2,785,-1
18,3,800,-1
19,2,807,-1
20,4,827,5
21,1,834,-1
22,5,896,1
23,2,917,-1
24,5,931,4
25,4,963,2
26,6,1069,5
27,5,1086,5
28,2,1157,-1
29,2,1186,-1
30,3,1202,-1
31,5,1261,2
32,4,1305,2
33,6,1324,6
34,1,1329,-1
35,5,1353,2
36,2,1361,-1
37,6,1437,1
38,4,1492,3
39,6,1532,4
40,3,1557,-1
41,6,1570,1
42,3,1666,-1
43,3,1678,-1
44,6,1705,6
45,6,1709,3
46,1,1797,-1
