Aircraft,Class,Target,SID
1,5,0,2
2,2,17,-1
3,1,79,-1
4,5,87,2
5,2,125,-1
6,6,221,1
7,2,230,-1
8,5,242,1
9,3,269,-1
10,6,345,2
11,3,361,-1
12,1,481,-1
13,2,486,-1
14,2,538,-1
15,5,545,6
16,2,555,-1
17,3,561,-1
18,6,597,6
19,6,604,2
20,6,654,5
21,1,696,-1
22,4,715,3
23,1,762,-1
24,4,850,3
25,5,879,6
26,3,1019,-1
27,6,1040,6
28,6,1060,1
29,4,1092,2
30,3,1126,-1
31,5,1156,6
32,5,1181,3
33,3,1247,-1
34,3,1251,-1
35,6,1264,5
36,2,1346,-1
37,3,1452,-1
38,3,1492,-1
39,4,1515,6
40,6,1574,2
41,3,1645,-1
42,2,1659,-1
43,5,1703,6
44,2,1758,-1
45,5,1782,6
46,5,1797,5
