Aircraft,Class,Target,SID
1,2,0,-1
2,5,19,6
3,6,22,6
4,1,31,-1
5,1,36,-1
6,6,62,2
7,6,85,1
8,5,90,1
9,2,97,-1
10,3,111,-1
11,3,178,-1
12,3,231,-1
13,3,294,-1
14,5,304,2
15,4,343,2
16,2,380,-1
17,6,451,2
18,6,462,2
19,5,466,5
20,1,577,-1
21,5,609,4
22,6,638,5
23,5,714,2
24,5,738,1
25,3,867,-1
26,3,880,-1
27,1,923,-1
28,2,953,-1
29,2,994,-1
30,6,1015,2
31,2,1097,-1
32,6,1130,1
33,2,1229,-1
34,4,1239,5
35,2,1261,-1
36,6,1317,6
37,3,1376,-1
38,3,1393,-1
39,3,1409,-1
40,5,1459,1
41,5,1471,1
42,2,1518,-1
43,4,1563,5
44,3,1598,-1
45,1,1616,-1
46,4,1631,4
47,4,1658,5
48,6,1666,5
49,5,1756,1
50,2,1762,-1
