Aircraft,Class,Target,SID
1,1,0,-1
2,3,13,-1
3,4,95,3
4,6,121,1
5,6,148,6
6,1,162,-1
7,2,185,-1
8,3,202,-1
9,6,260,3
10,3,263,-1
11,2,357,-1
12,6,364,6
13,2,476,-1
14,5,482,5
15,2,524,-1
16,5,539,6
17,2,574,-1
18,1,627,-1
19,4,648,6
20,3,662,-1
21,4,706,2
22,3,717,-1
23,4,726,5
24,2,738,-1
25,5,769,5
26,3,895,-1
27,2,960,-1
28,5,985,6
29,4,1007,1
30,3,1075,-1
31,6,1152,5
32,6,1214,5
33,6,1222,2
34,5,1260,6
35,6,1362,6
36,4,1450,6
37,2,1470,-1
38,3,1510,-1
39,5,1520,5
40,5,1549,2
41,1,1553,-1
42,3,1589,-1
43,5,1637,6
44,2,1709,-1
45,5,1727,4
46,1,1873,-1
47,5,1892,3
48,5,1922,6
49,2,1928,-1
50,6,1978,4
51,3,2011,-1
52,1,2016,-1
53,6,2062,6
54,6,2118,5
