Aircraft,Class,Target,SID
1,2,0,-1
2,4,8,4
3,6,20,6
4,6,38,6
5,2,88,-1
6,3,111,-1
7,5,148,1
8,5,178,6
9,2,289,-1
10,6,321,2
11,5,374,4
12,5,421,2
13,3,428,-1
14,1,443,-1
15,5,502,3
16,2,569,-1
17,3,640,-1
18,6,654,2
19,2,678,-1
20,5,684,1
21,5,719,3
22,3,748,-1
23,6,781,3
24,6,820,2
25,3,824,-1
26,3,914,-1
27,2,923,-1
28,6,940,1
29,4,996,5
30,2,1012,-1
31,6,1017,1
32,4,1027,2
33,4,1103,4
34,2,1144,-1
35,1,1189,-1
36,2,1215,-1
37,3,1258,-1
38,1,1280,-1
39,5,1301,2
40,6,1400,6
41,2,1413,-1
42,5,1424,3
43,6,1429,4
44,3,1492,-1
45,4,1519,6
46,5,1529,1
47,3,1532,-1
48,1,1551,-1
49,3,1633,-1
50,1,1762,-1
