Aircraft,Class,Target,SID
1,1,0,-1
2,5,33,6
3,3,75,-1
4,5,221,1
5,6,257,5
6,4,283,3
7,3,333,-1
8,2,389,-1
9,5,454,2
10,6,512,2
11,3,600,-1
12,1,672,-1
13,5,774,5
14,2,814,-1
15,2,825,-1
16,5,919,6
17,3,931,-1
18,1,949,-1
19,3,1011,-1
20,6,1040,1
21,5,1044,2
22,6,1059,5
23,2,1082,-1
24,4,1088,6
25,4,1136,1
26,2,1144,-1
27,6,1158,2
28,3,1204,-1
29,3,1223,-1
30,3,1226,-1
31,5,1231,5
32,2,1313,-1
33,5,1343,3
34,4,1368,2
35,6,1395,3
36,2,1463,-1
37,2,1477,-1
38,2,1483,-1
39,3,1496,-1
40,4,1573,6
41,1,1608,-1
42,2,1628,-1
43,1,1659,-1
44,6,1668,5
45,6,1706,4
46,3,1716,-1
47,5,1842,2
48,6,1849,1
49,5,1893,6
50,6,1946,6
51,6,1968,6
52,2,1989,-1
53,5,2101,6
54,3,2118,-1
