Aircraft,Class,Target,SID
1,2,0,-1
2,2,6,-1
3,1,42,-1
4,1,56,-1
5,4,121,5
6,2,193,-1
7,5,199,5
8,4,216,4
9,6,278,2
10,6,297,5
11,3,409,-1
12,1,442,-1
13,2,480,-1
14,1,506,-1
15,4,533,4
16,2,575,-1
17,5,585,2
18,3,593,-1
19,3,651,-1
20,1,739,-1
21,2,795,-1
22,2,799,-1
23,5,802,2
24,5,807,6
25,3,837,-1
26,3,885,-1
27,2,897,-1
28,4,928,2
29,4,937,2
30,4,952,6
31,6,1046,1
32,6,1053,2
33,2,1064,-1
34,3,1084,-1
35,5,1230,1
36,3,1251,-1
37,5,1273,2
38,5,1341,6
39,2,1355,-1
40,3,1373,-1
41,3,1417,-1
42,6,1446,2
43,6,1486,2
44,6,1532,5
45,3,1567,-1
46,5,1620,3
47,5,1722,6
48,2,1745,-1
49,6,1822,5
50,1,1872,-1
51,5,1885,6
52,3,2011,-1
53,5,2093,2
54,6,2118,4
