Aircraft,Class,Target,SID
1,3,0,-1
2,4,4,2
3,4,9,2
4,6,23,4
5,2,134,-1
6,5,160,2
7,1,178,-1
8,2,260,-1
9,3,277,-1
10,2,287,-1
11,5,350,1
12,5,366,6
13,6,376,2
14,5,432,1
15,2,439,-1
16,3,489,-1
17,3,588,-1
18,1,601,-1
19,5,677,1
20,3,682,-1
21,1,701,-1
22,2,723,-1
23,6,756,2
24,2,801,-1
25,4,813,2
26,1,872,-1
27,5,913,1
28,3,956,-1
29,5,977,3
30,6,992,5
31,5,1024,1
32,3,1095,-1
33,4,1148,6
34,6,1171,4
35,2,1238,-1
36,3,1268,-1
37,3,1397,-1
38,6,1400,4
39,2,1435,-1
40,5,1441,4
41,1,1470,-1
42,3,1494,-1
43,6,1533,2
44,2,1544,-1
45,2,1552,-1
46,5,1642,3
47,4,1651,1
48,6,1678,5
49,6,1715,1
50,6,1762,5
