Aircraft,Class,Target,SID
1,2,0,-1
2,2,50,-1
3,5,60,6
4,1,100,-1
5,3,114,-1
6,5,122,2
7,5,149,3
8,3,231,-1
9,6,325,3
10,5,339,2
11,5,351,4
12,1,362,-1
13,3,375,-1
14,6,463,6
15,5,481,3
16,6,517,2
17,6,537,3
18,2,567,-1
19,1,629,-1
20,3,634,-1
21,5,736,1
22,2,742,-1
23,6,751,2
24,6,819,4
25,2,850,-1
26,2,876,-1
27,4,882,6
28,4,947,6
29,3,972,-1
30,6,1014,5
31,5,1067,2
32,5,1125,2
33,6,1140,1
34,4,1217,5
35,2,1289,-1
36,5,1415,6
37,3,1461,-1
38,1,1490,-1
39,1,1636,-1
40,3,1658,-1
41,2,1691,-1
42,3,1698,-1
43,3,1719,-1
44,2,1763,-1
45,3,1786,-1
46,6,1790,4
47,2,1838,-1
48,1,1873,-1
49,4,1892,6
50,4,1930,1
51,6,2042,1
52,4,2059,6
53,6,2062,4
54,5,2118,3
