Aircraft,Class,Target,SID
1,5,0,2
2,2,8,-1
3,4,67,1
4,2,155,-1
5,2,179,-1
6,3,221,-1
7,4,271,6
8,6,296,5
9,2,319,-1
10,5,363,6
11,6,380,1
12,1,435,-1
13,6,497,1
14,3,531,-1
15,5,563,4
16,5,573,6
17,4,588,2
18,5,670,1
19,6,677,1
20,5,682,6
21,3,686,-1
22,6,693,5
23,2,764,-1
24,2,816,-1
25,1,922,-1
26,3,1018,-1
27,5,1039,3
28,5,1066,3
29,6,1186,6
30,3,1199,-1
31,3,1208,-1
32,1,1238,-1
33,2,1267,-1
34,2,1287,-1
35,6,1306,4
36,3,1312,-1
37,6,1378,4
38,3,1418,-1
39,4,1454,4
40,1,1501,-1
41,6,1539,2
42,3,1679,-1
43,2,1693,-1
44,5,1769,1
45,1,1781,-1
46,4,1797,5
