Aircraft,Class,Target,SID
1,6,0,4
2,3,46,-1
3,2,98,-1
4,2,146,-1
5,3,167,-1
6,6,236,4
7,6,255,5
8,1,266,-1
9,2,372,-1
10,5,422,6
11,3,508,-1
12,6,562,5
13,3,574,-1
14,6,596,6
15,5,605,5
16,5,630,2
17,2,640,-1
18,2,656,-1
19,6,663,2
20,4,681,1
21,2,685,-1
22,2,729,-1
23,2,756,-1
24,6,793,5
25,3,800,-1
26,1,857,-1
27,4,949,2
28,2,983,-1
29,3,987,-1
30,6,1013,2
31,5,1055,1
32,5,1068,4
33,1,1091,-1
34,1,1122,-1
35,6,1155,5
36,5,1217,2
37,2,1246,-1
38,5,1285,4
39,2,1315,-1
40,5,1387,6
41,1,1411,-1
42,6,1426,6
43,3,1466,-1
44,3,1474,-1
45,2,1492,-1
46,4,1498,4
47,6,1564,6
48,5,1578,2
49,4,1613,5
50,3,1694,-1
51,3,1792,-1
52,3,1802,-1
53,6,1862,6
54,3,1992,-1
55,4,2068,5
56,5,2073,2
57,1,2223,-1
58,4,2339,1
59,5,2342,5
60,5,2359,6
