Aircraft,Class,Target,SID
1,1,0,-1
2,5,21,3
3,6,45,6
4,5,55,6
5,5,74,6
6,2,136,-1
7,6,176,2
8,3,326,-1
9,5,359,5
10,5,396,1
11,1,411,-1
12,6,429,6
13,3,489,-1
14,5,535,5
15,6,545,5
16,2,567,-1
17,4,611,2
18,3,641,-1
19,2,710,-1
20,6,719,5
21,4,767,5
22,2,781,-1
23,2,897,-1
24,2,915,-1
25,5,949,1
26,3,961,-1
27,6,1013,1
28,5,1070,1
29,3,1093,-1
30,5,1174,5
31,2,1228,-1
32,6,1235,3
33,2,1307,-1
34,2,1334,-1
35,1,1359,-1
36,6,1364,1
37,4,1456,1
38,1,1522,-1
39,3,1598,-1
40,3,1602,-1
41,3,1732,-1
42,4,1735,5
43,3,1739,-1
44,3,1768,-1
45,3,1781,-1
46,2,1816,-1
47,4,1866,3
48,2,1908,-1
49,6,1934,2
50,1,1973,-1
51,6,1984,2
52,4,1992,1
53,2,2098,-1
54,6,2105,4
55,6,2122,6
56,3,2153,-1
57,1,2159,-1
58,5,2257,4
59,5,2343,1
60,5,2359,1
