Aircraft,Class,Target,SID
1,4,0,2
2,5,59,1
3,3,101,-1
4,2,125,-1
5,5,129,4
6,3,137,-1
7,1,157,-1
8,3,195,-1
9,3,218,-1
10,4,228,6
11,1,237,-1
12,1,273,-1
13,1,300,-1
14,5,340,5
15,5,370,3
16,6,385,3
17,2,391,-1
18,5,423,4
19,2,494,-1
20,2,501,-1
21,3,621,-1
22,2,633,-1
23,6,646,2
24,5,728,6
25,6,804,2
26,3,838,-1
27,4,859,6
28,2,875,-1
29,6,894,1
30,5,960,5
31,3,1012,-1
32,6,1074,4
33,5,1099,4
34,2,1143,-1
35,1,1150,-1
36,6,1256,4
37,4,1306,2
38,2,1402,-1
39,3,1457,-1
40,6,1597,5
41,6,1614,1
42,2,1702,-1
43,6,1731,6
44,5,1736,6
45,3,1750,-1
46,5,1797,2
