Aircraft,Class,Target
1,5,0
2,3,39
3,5,62
4,6,109
5,5,244
6,2,298
7,5,314
8,6,321
9,2,422
10,4,444
11,3,510
12,2,581
13,3,657
14,1,687
15,1,697
16,2,754
17,4,796
18,3,887
19,6,896
20,1,909
21,3,953
22,3,985
23,5,1022
24,6,1028
25,2,1039
26,6,1122
27,2,1141
28,4,1161
29,2,1186
30,6,1203
31,2,1253
32,5,1282
33,1,1317
34,6,1321
35,5,1436
36,4,1451
37,3,1478
38,6,1539
39,3,1544
40,5,1556
Aircraft,Class,Target
1,1,0
2,5,10
3,6,101
4,2,118
5,5,141
6,6,148
7,2,205
8,6,288
9,2,342
10,2,384
11,5,450
12,5,459
13,5,530
14,2,577
15,4,592
16,2,596
17,3,618
18,3,629
19,1,645
20,3,674
21,5,701
22,6,720
23,4,755
24,6,761
25,3,791
26,6,841
27,4,942
28,5,974
29,4,994
30,2,999
31,5,1114
32,2,1151
33,3,1195
34,1,1330
35,3,1342
36,1,1403
37,3,1442
38,6,1518
39,3,1543
40,6,1556
Aircraft,Class,Target
1,1,0
2,3,20
3,6,81
4,2,96
5,2,187
6,5,270
7,6,336
8,5,365
9,2,409
10,5,441
11,2,445
12,2,495
13,1,504
14,5,515
15,2,537
16,6,594
17,3,729
18,4,736
19,5,766
20,1,779
21,3,814
22,5,820
23,4,862
24,3,881
25,6,982
26,5,1005
27,2,1081
28,4,1128
29,3,1133
30,3,1143
31,5,1197
32,4,1224
33,3,1261
34,6,1300
35,6,1316
36,6,1341
37,6,1358
38,2,1429
39,3,1441
40,1,1556
Aircraft,Class,Target
1,2,0
2,4,20
3,1,37
4,4,62
5,6,89
6,3,131
7,2,138
8,1,229
9,1,258
10,6,264
11,3,308
12,5,340
13,3,351
14,6,408
15,2,421
16,6,430
17,6,501
18,6,540
19,5,623
20,3,673
21,6,710
22,5,714
23,5,775
24,5,791
25,5,826
26,2,880
27,4,890
28,1,905
29,5,981
30,3,1116
31,5,1138
32,6,1253
33,2,1283
34,2,1306
35,3,1325
36,2,1426
37,3,1492
38,2,1504
39,3,1509
40,4,1556
Aircraft,Class,Target
1,6,0
2,3,32
3,2,55
4,5,71
5,3,121
6,1,158
7,1,249
8,4,310
9,2,376
10,2,411
11,3,428
12,3,499
13,6,556
14,6,610
15,5,622
16,6,661
17,2,796
18,5,911
19,5,941
20,3,951
21,1,955
22,3,1038
23,3,1082
24,2,1124
25,6,1149
26,2,1178
27,5,1191
28,5,1202
29,5,1221
30,6,1322
31,3,1349
32,6,1425
33,2,1434
34,5,1439
35,1,1459
36,6,1465
37,4,1472
38,4,1519
39,4,1541
40,2,1556
Aircraft,Class,Target
1,3,0
2,6,30
3,3,80
4,3,93
5,6,147
6,3,156
7,1,176
8,5,233
9,5,309
10,5,328
11,6,372
12,5,409
13,2,413
14,4,479
15,4,614
16,3,643
17,2,650
18,3,675
19,6,736
20,2,752
21,2,774
22,5,780
23,2,895
24,2,942
25,4,1013
26,5,1024
27,5,1041
28,3,1053
29,3,1063
30,6,1090
31,1,1129
32,2,1171
33,1,1176
34,6,1277
35,1,1292
36,6,1315
37,6,1406
38,2,1441
39,5,1524
40,4,1556
Aircraft,Class,Target
1,5,0
2,6,7
3,3,36
4,5,42
5,3,58
6,1,77
7,6,178
8,5,187
9,2,234
10,3,269
11,6,326
12,2,409
13,4,424
14,3,500
15,6,510
16,3,514
17,6,531
18,2,536
19,3,671
20,1,762
21,1,806
22,5,818
23,3,841
24,2,895
25,5,956
26,4,981
27,6,1047
28,2,1097
29,5,1110
30,6,1142
31,5,1184
32,2,1221
33,1,1251
34,2,1366
35,3,1386
36,5,1425
37,4,1496
38,6,1507
39,2,1534
40,4,1556
Aircraft,Class,Target
1,2,0
2,1,54
3,3,93
4,6,109
5,6,144
6,1,210
7,6,232
8,6,238
9,1,321
10,2,351
11,4,393
12,5,443
13,3,447
14,6,479
15,3,504
16,3,523
17,4,560
18,5,577
19,5,712
20,6,788
21,5,795
22,5,806
23,2,826
24,5,855
25,5,916
26,2,973
27,1,978
28,4,1005
29,5,1106
30,2,1197
31,3,1268
32,2,1283
33,3,1292
34,3,1305
35,6,1328
36,2,1375
37,2,1387
38,4,1431
39,3,1546
40,6,1556
Aircraft,Class,Target
1,5,0
2,4,101
3,4,236
4,2,290
5,6,315
6,1,334
7,2,363
8,5,383
9,5,454
10,5,461
11,5,491
12,6,503
13,3,516
14,4,526
15,6,617
16,2,667
17,3,714
18,3,775
19,1,851
20,4,886
21,3,969
22,2,991
23,6,1048
24,3,1163
25,1,1195
26,5,1210
27,2,1216
28,6,1233
29,5,1299
30,2,1326
31,2,1337
32,2,1376
33,1,1420
34,6,1462
35,3,1471
36,5,1508
37,6,1524
38,6,1547
39,3,1551
40,3,1556
Aircraft,Class,Target
1,1,0
2,3,19
3,3,51
4,6,63
5,1,120
6,4,174
7,2,197
8,4,239
9,5,322
10,5,332
11,6,447
12,4,518
13,5,533
14,5,553
15,6,564
16,5,571
17,2,621
18,2,648
19,2,677
20,5,702
21,3,739
22,1,805
23,2,810
24,3,840
25,3,975
26,6,992
27,1,1031
28,6,1122
29,4,1198
30,6,1214
31,5,1227
32,2,1288
33,3,1332
34,6,1354
35,3,1360
36,5,1364
37,2,1411
38,6,1512
39,2,1521
40,3,1556
