Aircraft,Class,Target,SID
1,5,0,4
2,2,59,-1
3,4,135,5
4,5,154,6
5,3,197,-1
6,1,279,-1
7,6,378,2
8,2,489,-1
9,3,521,-1
10,1,562,-1
11,5,568,6
12,5,624,2
13,2,648,-1
14,4,660,3
15,2,682,-1
16,3,703,-1
17,2,706,-1
18,6,713,1
19,6,752,2
20,2,761,-1
21,4,832,5
22,6,837,2
23,6,841,5
24,6,857,3
25,3,867,-1
26,3,884,-1
27,3,914,-1
28,3,940,-1
29,5,953,4
30,2,1043,-1
31,1,1066,-1
32,5,1133,2
33,6,1144,3
34,4,1181,2
35,6,1231,5
36,2,1239,-1
37,3,1292,-1
38,4,1327,1
39,3,1390,-1
40,5,1404,1
41,6,1414,6
42,5,1429,2
43,2,1474,-1
44,1,1501,-1
45,2,1519,-1
46,5,1566,5
47,1,1695,-1
48,6,1724,5
49,5,1757,6
50,3,1762,-1
