Aircraft,Class,Target,SID
1,4,0,1
2,1,38,-1
3,6,126,5
4,2,139,-1
5,6,251,6
6,2,277,-1
7,2,304,-1
8,5,360,2
9,1,378,-1
10,2,436,-1
11,3,447,-1
12,3,468,-1
13,5,487,5
14,4,633,1
15,3,686,-1
16,6,722,5
17,3,736,-1
18,3,753,-1
19,5,801,6
20,2,813,-1
21,2,821,-1
22,6,841,5
23,3,863,-1
24,4,869,6
25,1,873,-1
26,6,898,4
27,3,903,-1
28,2,906,-1
29,2,913,-1
30,5,975,1
31,2,1015,-1
32,3,1046,-1
33,3,1172,-1
34,6,1202,6
35,1,1216,-1
36,5,1258,1
37,6,1273,5
38,1,1306,-1
39,5,1383,5
40,6,1392,1
41,3,1402,-1
42,6,1496,2
43,6,1502,6
44,2,1574,-1
45,5,1676,1
46,5,1741,1
47,4,1823,6
48,5,1869,6
49,3,1892,-1
50,4,1921,1
51,5,1989,6
52,2,2039,-1
53,4,2074,4
54,6,2118,4
