Aircraft,Class,Target,SID
1,5,0,4
2,2,13,-1
3,3,33,-1
4,1,40,-1
5,4,76,1
6,6,158,1
7,5,211,2
8,3,305,-1
9,4,310,5
10,6,345,5
11,5,376,5
12,4,403,6
13,5,459,5
14,6,470,6
15,2,487,-1
16,6,520,1
17,1,546,-1
18,3,568,-1
19,3,614,-1
20,2,629,-1
21,4,659,4
22,6,667,3
23,5,705,4
24,6,719,2
25,2,777,-1
26,6,787,1
27,3,889,-1
28,3,892,-1
29,4,954,5
30,3,1019,-1
31,2,1063,-1
32,2,1105,-1
33,5,1111,1
34,2,1115,-1
35,5,1261,6
36,1,1373,-1
37,1,1413,-1
38,6,1485,2
39,1,1535,-1
40,6,1661,2
41,4,1675,2
42,2,1763,-1
43,5,1840,6
44,2,1888,-1
45,5,1917,3
46,5,1938,4
47,1,1947,-1
48,6,1959,4
49,3,1982,-1
50,6,2000,5
51,3,2019,-1
52,2,2087,-1
53,2,2093,-1
54,3,2118,-1
