Aircraft,Class,Target,SID
1,1,0,-1
2,3,57,-1
3,3,76,-1
4,4,86,6
5,2,216,-1
6,2,255,-1
7,4,273,3
8,3,277,-1
9,6,339,1
10,5,355,2
11,6,399,2
12,6,406,5
13,2,456,-1
14,6,467,3
15,2,500,-1
16,4,512,1
17,6,520,6
18,5,589,2
19,6,626,4
20,2,650,-1
21,3,655,-1
22,3,662,-1
23,5,691,6
24,3,697,-1
25,4,728,6
26,1,754,-1
27,2,794,-1
28,6,807,6
29,4,811,1
30,5,829,2
31,3,910,-1
32,6,1026,1
33,3,1112,-1
34,6,1139,2
35,5,1289,1
36,5,1337,5
37,5,1389,4
38,3,1449,-1
39,2,1525,-1
40,1,1550,-1
41,1,1642,-1
42,1,1672,-1
43,2,1738,-1
44,5,1773,2
45,3,1827,-1
46,5,1841,1
47,6,1851,2
48,2,1860,-1
49,2,1894,-1
50,5,1911,2
51,3,1914,-1
52,4,2012,2
53,5,2058,6
54,1,2080,-1
55,6,2186,5
56,3,2228,-1
57,2,2300,-1
58,6,2315,1
59,5,2338,2
60,2,2359,-1
