Aircraft,Class,Target,SID
1,3,0,-1
2,3,18,-1
3,5,32,5
4,2,45,-1
5,4,103,4
6,2,125,-1
7,5,193,2
8,3,208,-1
9,3,227,-1
10,6,232,2
11,4,314,2
12,5,349,6
13,2,405,-1
14,3,422,-1
15,3,472,-1
16,2,480,-1
17,6,492,5
18,5,569,6
19,1,634,-1
20,3,644,-1
21,5,671,5
22,5,765,1
23,1,891,-1
24,2,931,-1
25,6,940,5
26,1,976,-1
27,6,1078,1
28,3,1085,-1
29,2,1110,-1
30,6,1130,3
31,3,1276,-1
32,4,1324,1
33,1,1370,-1
34,6,1401,4
35,1,1427,-1
36,5,1460,5
37,5,1490,5
38,6,1578,3
39,2,1601,-1
40,1,1713,-1
41,4,1785,2
42,4,1799,6
43,2,1805,-1
44,6,1808,5
45,5,1829,3
46,2,1891,-1
47,5,1902,2
48,6,1944,6
49,5,1988,6
50,6,2017,5
51,3,2021,-1
52,6,2027,4
53,3,2080,-1
54,2,2118,-1
