Aircraft,Class,Target,SID
1,1,0,-1
2,5,42,1
3,4,92,2
4,5,119,2
5,2,225,-1
6,6,229,5
7,3,237,-1
8,5,268,6
9,2,349,-1
10,4,372,1
11,6,420,1
12,6,480,1
13,5,549,1
14,3,556,-1
15,2,565,-1
16,5,572,5
17,5,626,1
18,6,666,4
19,4,742,2
20,2,760,-1
21,4,770,5
22,6,842,1
23,2,899,-1
24,3,912,-1
25,1,915,-1
26,6,931,5
27,6,968,5
28,6,1003,1
29,4,1022,3
30,3,1034,-1
31,2,1067,-1
32,1,1085,-1
33,6,1147,6
34,2,1213,-1
35,3,1305,-1
36,3,1349,-1
37,5,1374,1
38,5,1490,2
39,6,1519,6
40,3,1669,-1
41,3,1699,-1
42,5,1733,6
43,3,1747,-1
44,6,1833,2
45,3,1885,-1
46,1,1889,-1
47,2,1895,-1
48,6,1900,6
49,5,1946,6
50,3,1985,-1
51,1,2115,-1
52,2,2130,-1
53,1,2141,-1
54,2,2151,-1
55,5,2249,3
56,2,2273,-1
57,3,2295,-1
58,2,2312,-1
59,4,2333,6
60,5,2359,4
