Aircraft,Class,Target,SID
1,3,0,-1
2,2,63,-1
3,5,98,1
4,3,227,-1
5,2,303,-1
6,3,315,-1
7,5,324,2
8,5,343,1
9,6,365,5
10,6,408,1
11,2,418,-1
12,6,425,2
13,4,458,5
14,1,540,-1
15,4,611,5
16,5,656,2
17,4,682,4
18,1,688,-1
19,1,778,-1
20,4,801,3
21,2,854,-1
22,3,875,-1
23,5,916,2
24,6,924,6
25,3,934,-1
26,3,993,-1
27,3,997,-1
28,5,1021,2
29,6,1077,1
30,3,1106,-1
31,3,1156,-1
32,5,1171,1
33,4,1176,2
34,1,1181,-1
35,6,1199,5
36,6,1246,3
37,5,1357,5
38,2,1368,-1
39,2,1398,-1
40,1,1414,-1
41,5,1453,2
42,6,1470,6
43,2,1484,-1
44,6,1521,4
45,2,1524,-1
46,6,1537,2
47,3,1569,-1
48,2,1636,-1
49,5,1663,5
50,2,1762,-1
