Aircraft,Class,Target,SID
1,2,0,-1
2,2,96,-1
3,5,106,4
4,3,120,-1
5,3,132,-1
6,6,187,4
7,6,327,4
8,4,415,2
9,5,430,1
10,2,496,-1
11,5,532,2
12,3,540,-1
13,3,557,-1
14,6,616,2
15,2,621,-1
16,1,650,-1
17,1,666,-1
18,6,670,6
19,3,776,-1
20,3,797,-1
21,6,868,4
22,2,877,-1
23,1,884,-1
24,2,911,-1
25,3,1031,-1
26,1,1063,-1
27,6,1115,6
28,2,1157,-1
29,3,1195,-1
30,6,1219,5
31,4,1266,3
32,5,1272,3
33,5,1291,5
34,5,1367,1
35,6,1387,1
36,3,1400,-1
37,1,1444,-1
38,5,1506,5
39,6,1513,6
40,5,1553,2
41,3,1576,-1
42,6,1658,2
43,4,1688,1
44,4,1722,1
45,2,1747,-1
46,2,1797,-1
