Aircraft,Class,Target,SID
1,4,0,2
2,2,66,-1
3,5,93,1
4,3,99,-1
5,6,195,2
6,2,250,-1
7,4,326,2
8,2,335,-1
9,5,339,1
10,2,364,-1
11,5,423,2
12,4,440,2
13,2,528,-1
14,4,536,1
15,6,550,5
16,1,573,-1
17,6,655,6
18,3,707,-1
19,3,847,-1
20,1,967,-1
21,5,1017,2
22,6,1030,6
23,5,1040,1
24,1,1146,-1
25,5,1208,6
26,3,1279,-1
27,3,1309,-1
28,3,1341,-1
29,5,1375,3
30,5,1411,4
31,6,1440,1
32,5,1459,1
33,6,1501,6
34,3,1525,-1
35,2,1569,-1
36,6,1607,2
37,2,1614,-1
38,2,1629,-1
39,1,1649,-1
40,2,1665,-1
41,6,1670,2
42,6,1682,1
43,3,1689,-1
44,6,1710,6
45,3,1757,-1
46,5,1797,2
