Aircraft,Class,Target,SID
1,3,0,-1
2,2,96,-1
3,6,100,2
4,2,115,-1
5,3,131,-1
6,1,190,-1
7,5,237,4
8,5,266,1
9,5,348,2
10,3,362,-1
11,5,370,2
12,5,425,4
13,3,450,-1
14,2,455,-1
15,6,482,2
16,2,526,-1
17,1,602,-1
18,2,611,-1
19,5,661,2
20,4,668,6
21,6,691,5
22,6,733,1
23,2,795,-1
24,5,833,6
25,6,840,6
26,4,880,6
27,4,886,2
28,3,910,-1
29,1,922,-1
30,6,958,2
31,5,975,4
32,6,1009,1
33,3,1022,-1
34,5,1088,1
35,3,1120,-1
36,6,1172,5
37,1,1312,-1
38,3,1322,-1
39,2,1428,-1
40,2,1548,-1
41,2,1567,-1
42,4,1638,2
43,6,1726,5
44,6,1746,3
45,1,1767,-1
46,3,1797,-1
