Aircraft,Class,Target
1,1,0
2,3,69
3,4,135
4,4,142
5,2,248
6,1,279
7,6,282
8,2,309
9,2,334
10,4,382
11,5,434
12,3,440
13,4,521
14,3,531
15,2,546
16,3,560
17,6,576
18,6,610
19,5,627
20,2,667
21,6,696
22,2,704
23,5,754
24,3,798
25,3,852
26,1,938
27,2,1000
28,5,1092
29,6,1118
30,2,1122
31,3,1220
32,3,1224
33,6,1284
34,1,1302
35,6,1378
36,2,1417
37,5,1452
38,4,1457
39,6,1476
40,6,1506
41,5,1527
42,5,1536
43,5,1578
44,2,1650
45,5,1672
46,6,1683
47,3,1696
48,1,1826
49,2,1863
50,2,2013
51,4,2059
52,6,2116
53,6,2123
54,1,2146
55,3,2179
56,3,2189
57,3,2207
58,5,2231
59,5,2243
60,5,2359
Aircraft,Class,Target
1,2,0
2,3,4
3,2,16
4,5,25
5,4,30
6,2,136
7,6,198
8,2,248
9,6,258
10,3,273
11,5,319
12,3,388
13,3,480
14,3,519
15,4,559
16,1,575
17,5,583
18,1,617
19,2,648
20,2,778
21,2,785
22,2,811
23,5,863
24,1,887
25,5,909
26,6,953
27,5,1010
28,3,1028
29,6,1039
30,1,1105
31,2,1142
32,6,1196
33,5,1256
34,3,1260
35,5,1267
36,1,1280
37,6,1305
38,6,1334
39,4,1432
40,5,1459
41,6,1507
42,3,1623
43,6,1644
44,5,1720
45,6,1734
46,5,1740
47,3,1759
48,3,1777
49,6,1787
50,3,1790
51,2,1876
52,3,1948
53,4,1965
54,2,2046
55,4,2076
56,6,2109
57,4,2151
58,2,2186
59,1,2209
60,5,2359
Aircraft,Class,Target
1,2,0
2,3,27
3,1,93
4,3,112
5,6,162
6,3,169
7,5,261
8,1,292
9,2,344
10,2,354
11,1,357
12,4,367
13,4,517
14,6,615
15,5,696
16,4,726
17,5,734
18,2,768
19,3,775
20,2,779
21,6,783
22,2,816
23,3,834
24,5,856
25,3,942
26,5,1004
27,3,1052
28,6,1057
29,2,1075
30,6,1117
31,1,1132
32,2,1186
33,5,1192
34,3,1221
35,5,1242
36,6,1302
37,3,1319
38,5,1330
39,4,1399
40,2,1471
41,3,1484
42,2,1519
43,5,1563
44,4,1572
45,6,1611
46,1,1648
47,5,1688
48,3,1745
49,6,1769
50,6,1885
51,4,1899
52,6,1925
53,1,1937
54,2,2043
55,3,2068
56,6,2198
57,2,2221
58,6,2267
59,5,2343
60,5,2359
Aircraft,Class,Target
1,1,0
2,5,42
3,4,92
4,5,119
5,2,225
6,6,229
7,3,237
8,5,268
9,2,349
10,4,372
11,6,420
12,6,480
13,5,549
14,3,556
15,2,565
16,5,572
17,5,626
18,6,666
19,4,742
20,2,760
21,4,770
22,6,842
23,2,899
24,3,912
25,1,915
26,6,931
27,6,968
28,6,1003
29,4,1022
30,3,1034
31,2,1067
32,1,1085
33,6,1147
34,2,1213
35,3,1305
36,3,1349
37,5,1374
38,5,1490
39,6,1519
40,3,1669
41,3,1699
42,5,1733
43,3,1747
44,6,1833
45,3,1885
46,1,1889
47,2,1895
48,6,1900
49,5,1946
50,3,1985
51,1,2115
52,2,2130
53,1,2141
54,2,2151
55,5,2249
56,2,2273
57,3,2295
58,2,2312
59,4,2333
60,5,2359
Aircraft,Class,Target
1,1,0
2,5,21
3,6,45
4,5,55
5,5,74
6,2,136
7,6,176
8,3,326
9,5,359
10,5,396
11,1,411
12,6,429
13,3,489
14,5,535
15,6,545
16,2,567
17,4,611
18,3,641
19,2,710
20,6,719
21,4,767
22,2,781
23,2,897
24,2,915
25,5,949
26,3,961
27,6,1013
28,5,1070
29,3,1093
30,5,1174
31,2,1228
32,6,1235
33,2,1307
34,2,1334
35,1,1359
36,6,1364
37,4,1456
38,1,1522
39,3,1598
40,3,1602
41,3,1732
42,4,1735
43,3,1739
44,3,1768
45,3,1781
46,2,1816
47,4,1866
48,2,1908
49,6,1934
50,1,1973
51,6,1984
52,4,1992
53,2,2098
54,6,2105
55,6,2122
56,3,2153
57,1,2159
58,5,2257
59,5,2343
60,5,2359
Aircraft,Class,Target
1,6,0
2,5,29
3,5,45
4,2,72
5,5,93
6,4,124
7,2,164
8,6,212
9,5,258
10,4,320
11,5,343
12,2,349
13,2,374
14,2,424
15,4,574
16,6,596
17,5,607
18,1,667
19,1,709
20,1,718
21,3,784
22,5,802
23,5,841
24,6,933
25,1,985
26,6,988
27,5,993
28,5,1091
29,5,1160
30,5,1193
31,3,1203
32,6,1213
33,4,1239
34,6,1257
35,3,1264
36,4,1301
37,3,1315
38,6,1339
39,6,1346
40,6,1376
41,2,1457
42,4,1474
43,3,1560
44,3,1595
45,3,1639
46,2,1745
47,2,1764
48,2,1776
