Aircraft,Class,Target,SID
1,2,0,-1
2,2,112,-1
3,3,145,-1
4,1,165,-1
5,6,211,3
6,3,229,-1
7,5,246,1
8,2,340,-1
9,5,363,2
10,5,389,3
11,5,404,6
12,4,423,3
13,6,473,1
14,3,498,-1
15,6,570,6
16,1,575,-1
17,3,602,-1
18,1,616,-1
19,2,623,-1
20,2,627,-1
21,4,695,1
22,3,701,-1
23,6,741,5
24,5,772,5
25,3,828,-1
26,6,842,5
27,4,886,2
28,4,921,2
29,5,963,1
30,2,1016,-1
31,2,1054,-1
32,5,1136,3
33,5,1165,6
34,5,1173,3
35,1,1299,-1
36,6,1335,3
37,6,1348,1
38,5,1369,6
39,3,1515,-1
40,3,1563,-1
41,5,1566,4
42,1,1596,-1
43,6,1608,5
44,4,1630,5
45,6,1636,6
46,3,1724,-1
47,2,1735,-1
48,3,1793,-1
49,1,1803,-1
50,2,1868,-1
51,3,1970,-1
52,6,2032,5
53,6,2041,2
54,4,2118,1
