Aircraft,Class,Target,SID
1,2,0,-1
2,3,4,-1
3,2,16,-1
4,5,25,1
5,4,30,5
6,2,136,-1
7,6,198,1
8,2,248,-1
9,6,258,5
10,3,273,-1
11,5,319,3
12,3,388,-1
13,3,480,-1
14,3,519,-1
15,4,559,6
16,1,575,-1
17,5,583,6
18,1,617,-1
19,2,648,-1
20,2,778,-1
21,2,785,-1
22,2,811,-1
23,5,863,5
24,1,887,-1
25,5,909,3
26,6,953,2
27,5,1010,6
28,3,1028,-1
29,6,1039,1
30,1,1105,-1
31,2,1142,-1
32,6,1196,1
33,5,1256,1
34,3,1260,-1
35,5,1267,1
36,1,1280,-1
37,6,1305,3
38,6,1334,6
39,4,1432,5
40,5,1459,6
41,6,1507,1
42,3,1623,-1
43,6,1644,2
44,5,1720,6
45,6,1734,4
46,5,1740,5
47,3,1759,-1
48,3,1777,-1
49,6,1787,6
50,3,1790,-1
51,2,1876,-1
52,3,1948,-1
53,4,1965,5
54,2,2046,-1
55,4,2076,1
56,6,2109,1
57,4,2151,5
58,2,2186,-1
59,1,2209,-1
60,5,2359,1
