Aircraft,Class,Target,SID
1,1,0,-1
2,3,24,-1
3,2,86,-1
4,2,95,-1
5,1,105,-1
6,5,135,3
7,5,138,1
8,3,145,-1
9,6,174,5
10,3,216,-1
11,3,308,-1
12,5,380,1
13,2,398,-1
14,2,415,-1
15,6,496,2
16,5,540,6
17,4,567,5
18,6,673,4
19,4,823,3
20,3,841,-1
21,6,910,6
22,6,970,6
23,6,1007,6
24,3,1059,-1
25,3,1081,-1
26,3,1127,-1
27,5,1146,1
28,2,1222,-1
29,5,1288,5
30,2,1313,-1
31,3,1429,-1
32,6,1437,6
33,5,1442,5
34,1,1482,-1
35,2,1486,-1
36,4,1500,2
37,3,1506,-1
38,5,1556,4
39,6,1595,5
40,6,1626,2
41,6,1652,1
42,2,1664,-1
43,5,1718,5
44,4,1752,2
45,5,1787,5
46,5,1802,1
47,2,1823,-1
48,3,1953,-1
49,2,1976,-1
50,2,1989,-1
51,5,2005,6
52,3,2038,-1
53,2,2136,-1
54,6,2143,6
55,1,2200,-1
56,6,2210,6
57,4,2221,2
58,1,2269,-1
59,4,2273,5
60,1,2359,-1
