Aircraft,Class,Target,SID
1,1,0,-1
2,3,69,-1
3,4,135,3
4,4,142,2
5,2,248,-1
6,1,279,-1
7,6,282,6
8,2,309,-1
9,2,334,-1
10,4,382,5
11,5,434,6
12,3,440,-1
13,4,521,3
14,3,531,-1
15,2,546,-1
16,3,560,-1
17,6,576,1
18,6,610,1
19,5,627,6
20,2,667,-1
21,6,696,5
22,2,704,-1
23,5,754,2
24,3,798,-1
25,3,852,-1
26,1,938,-1
27,2,1000,-1
28,5,1092,2
29,6,1118,6
30,2,1122,-1
31,3,1220,-1
32,3,1224,-1
33,6,1284,2
34,1,1302,-1
35,6,1378,5
36,2,1417,-1
37,5,1452,2
38,4,1457,5
39,6,1476,2
40,6,1506,5
41,5,1527,6
42,5,1536,5
43,5,1578,1
44,2,1650,-1
45,5,1672,1
46,6,1683,6
47,3,1696,-1
48,1,1826,-1
49,2,1863,-1
50,2,2013,-1
51,4,2059,5
52,6,2116,6
53,6,2123,1
54,1,2146,-1
55,3,2179,-1
56,3,2189,-1
57,3,2207,-1
58,5,2231,6
59,5,2243,3
60,5,2359,2
