Aircraft,Class,Target,SID
1,6,0,5
2,5,29,6
3,5,45,2
4,2,72,-1
5,5,93,2
6,4,124,4
7,2,164,-1
8,6,212,2
9,5,258,1
10,4,320,6
11,5,343,2
12,2,349,-1
13,2,374,-1
14,2,424,-1
15,4,574,1
16,6,596,2
17,5,607,1
18,1,667,-1
19,1,709,-1
20,1,718,-1
21,3,784,-1
22,5,802,1
23,5,841,3
24,6,933,5
25,1,985,-1
26,6,988,6
27,5,993,4
28,5,1091,6
29,5,1160,5
30,5,1193,4
31,3,1203,-1
32,6,1213,2
33,4,1239,4
34,6,1257,1
35,3,1264,-1
36,4,1301,3
37,3,1315,-1
38,6,1339,6
39,6,1346,5
40,6,1376,5
41,2,1457,-1
42,4,1474,2
43,3,1560,-1
44,3,1595,-1
45,3,1639,-1
46,2,1745,-1
47,2,1764,-1
48,2,1776,-1
49,3,1833,-1
50,6,1887,5
51,3,1959,-1
52,6,1963,5
53,3,1978,-1
54,2,1986,-1
55,3,2020,-1
56,1,2150,-1
57,2,2154,-1
58,1,2270,-1
59,2,2346,-1
60,3,2359,-1
