Aircraft,Class,Target,SID
1,5,0,1
2,6,76,1
3,3,87,-1
4,1,124,-1
5,2,223,-1
6,3,247,-1
7,3,337,-1
8,3,340,-1
9,5,403,6
10,2,416,-1
11,4,430,3
12,6,436,6
13,4,466,3
14,6,509,2
15,6,526,5
16,2,547,-1
17,2,566,-1
18,5,601,1
19,1,619,-1
20,6,641,2
21,1,657,-1
22,2,683,-1
23,2,716,-1
24,6,783,4
25,6,822,4
26,6,827,4
27,4,836,1
28,3,843,-1
29,2,884,-1
30,2,892,-1
31,1,974,-1
32,6,1085,2
33,3,1214,-1
34,5,1226,4
35,3,1241,-1
36,5,1251,6
37,3,1301,-1
38,1,1330,-1
39,5,1375,2
40,3,1434,-1
41,4,1466,6
42,5,1489,3
43,6,1494,4
44,5,1498,1
45,2,1569,-1
46,5,1622,4
47,2,1632,-1
48,3,1679,-1
49,4,1706,6
50,5,1762,1
