Aircraft,Class,Target,SID
1,2,0,-1
2,5,76,1
3,3,82,-1
4,2,105,-1
5,5,120,6
6,5,231,5
7,5,268,6
8,5,309,5
9,6,338,5
10,6,345,6
11,1,367,-1
12,3,417,-1
13,3,447,-1
14,2,537,-1
15,6,576,6
16,5,647,2
17,5,652,2
18,4,676,5
19,3,719,-1
20,3,722,-1
21,3,804,-1
22,6,814,1
23,3,913,-1
24,2,931,-1
25,3,944,-1
26,2,963,-1
27,2,973,-1
28,6,978,1
29,2,999,-1
30,2,1003,-1
31,1,1017,-1
32,6,1084,1
33,5,1110,3
34,5,1239,6
35,6,1266,1
36,1,1298,-1
37,1,1333,-1
38,6,1350,6
39,3,1403,-1
40,1,1450,-1
41,3,1458,-1
42,6,1467,6
43,4,1523,2
44,2,1568,-1
45,4,1584,2
46,6,1595,3
47,4,1658,1
48,5,1691,5
49,4,1703,5
50,2,1762,-1
