Aircraft,Class,Target,SID
1,1,0,-1
2,2,88,-1
3,4,91,6
4,1,97,-1
5,5,126,5
6,6,228,1
7,3,322,-1
8,5,329,1
9,2,342,-1
10,5,364,3
11,6,379,4
12,2,396,-1
13,5,406,2
14,2,432,-1
15,3,474,-1
16,4,485,5
17,2,562,-1
18,5,624,2
19,4,632,1
20,1,685,-1
21,2,720,-1
22,3,770,-1
23,3,810,-1
24,1,814,-1
25,3,886,-1
26,4,919,6
27,5,1031,3
28,6,1045,3
29,5,1054,6
30,1,1059,-1
31,5,1117,1
32,1,1137,-1
33,3,1205,-1
34,3,1261,-1
35,2,1282,-1
36,2,1300,-1
37,6,1306,1
38,2,1388,-1
39,3,1418,-1
40,6,1483,2
41,5,1510,2
42,6,1546,2
43,6,1577,6
44,2,1621,-1
45,4,1669,5
46,3,1681,-1
47,3,1727,-1
48,4,1750,2
49,6,1775,3
50,3,1789,-1
51,6,1808,2
52,5,1954,6
53,6,1992,2
54,2,2118,-1
