Aircraft,Class,Target,SID
1,1,0,-1
2,2,21,-1
3,5,51,5
4,2,78,-1
5,3,137,-1
6,5,143,1
7,3,167,-1
8,4,179,4
9,4,198,5
10,5,260,6
11,5,277,5
12,6,373,2
13,5,449,1
14,6,520,2
15,4,549,4
16,1,559,-1
17,2,593,-1
18,2,699,-1
19,6,706,6
20,6,742,5
21,2,830,-1
22,2,896,-1
23,5,938,1
24,3,953,-1
25,2,960,-1
26,3,969,-1
27,6,989,4
28,2,1003,-1
29,6,1123,6
30,1,1127,-1
31,2,1267,-1
32,3,1319,-1
33,3,1327,-1
34,6,1343,1
35,4,1366,2
36,6,1406,5
37,3,1444,-1
38,5,1494,1
39,2,1538,-1
40,3,1585,-1
41,5,1598,2
42,1,1653,-1
43,5,1678,3
44,6,1710,3
45,3,1715,-1
46,5,1797,1
