Aircraft,Class,Target,SID
1,4,0,3
2,5,47,5
3,3,62,-1
4,5,72,6
5,1,138,-1
6,6,143,3
7,1,150,-1
8,4,159,5
9,2,191,-1
10,6,229,3
11,2,241,-1
12,2,258,-1
13,3,282,-1
14,4,324,3
15,5,331,2
16,5,386,5
17,1,407,-1
18,2,443,-1
19,3,502,-1
20,6,590,5
21,2,710,-1
22,5,714,1
23,3,743,-1
24,2,787,-1
25,6,812,5
26,4,883,3
27,3,965,-1
28,3,984,-1
29,6,992,6
30,2,1005,-1
31,2,1039,-1
32,1,1135,-1
33,6,1241,2
34,5,1247,2
35,2,1297,-1
36,5,1320,6
37,6,1347,5
38,6,1377,5
39,6,1439,1
40,2,1479,-1
41,3,1531,-1
42,5,1545,5
43,5,1565,6
44,3,1581,-1
45,1,1721,-1
46,3,1797,-1
