Aircraft,Class,Target,SID
1,4,0,1
2,3,53,-1
3,1,64,-1
4,6,80,5
5,2,109,-1
6,5,131,6
7,1,187,-1
8,2,190,-1
9,3,229,-1
10,4,233,2
11,3,242,-1
12,3,261,-1
13,2,268,-1
14,5,335,4
15,5,411,6
16,6,421,1
17,2,444,-1
18,6,476,5
19,5,539,1
20,3,544,-1
21,2,587,-1
22,5,597,6
23,2,611,-1
24,1,658,-1
25,5,769,5
26,3,777,-1
27,4,818,2
28,5,917,5
29,2,923,-1
30,6,950,2
31,6,974,5
32,1,1033,-1
33,6,1123,6
34,2,1136,-1
35,3,1173,-1
36,6,1191,3
37,5,1224,3
38,2,1239,-1
39,3,1256,-1
40,5,1385,4
41,4,1406,5
42,6,1477,2
43,6,1559,2
44,5,1585,5
45,1,1635,-1
46,4,1670,2
47,3,1700,-1
48,3,1712,-1
49,6,1757,1
50,2,1762,-1
